DENOMINAZIONE,COMUNE,PROVINCIA,TELEFONO,EMAIL,AREA,SERVIZI,ATTIVITA,TIPOLOGIE PERSONE SVANTAGGIATE,WGS84_Y,WGS84_X,location
ZERO5 - LABORATORIO DI UTOPIE METROPOLITANE COOPERATIVA SOCIALE,Milano,MI,0289077199,posta@coopzero5.org,"Disabili/Handicappati, Disagio Giovanile, Educativa, Minori, Prevenzione del disagio, Stranieri","Altro, Animazione culturale  e territoriale, Assistenza scolastica ""ad personam"", Centro Ricreativo diurno minori",,,45.9395582,8.802946,"(45.9395582, 8.802946)"
REVERIE SOCIETA' COOPERATIVA SOCIALE - ONLUS,Milano,MI,0242297786,idalmac@tiscali.it,Altro,Assistenza Domiciliare integrata Anziani,,,45.45244671,9.14836865,"(45.45244671, 9.14836865)"
CECILIA SERVIZI - SOCIETA' COOPERATIVA SOCIALE-ONLUS,Visano,BS,0309958984,Maracts@virgilio.it,,,"Agricola, Confezionamenti vari, Falegnameria","Disabili, Tossicodipendenti, Alcooldipendenti",45.31802734,10.3674,"(45.31802734, 10.3674)"
MEDIOLANUM SOCCORSO SOCIETA' COOPERATIVA SOCIALE A R.L. - ONLUS,Milano,MI,0813385810,,Altro,Altro,,,45.49120325,9.23995,"(45.49120325, 9.23995)"
FAMIGLIA E TERRITORIO SOCIETA' COOPERATIVA SOCIALE,Pavia,PV,038229638,pavia@confcooperative.it,"Anziani, Disabili/Handicappati, Educativa, Famiglia, Minori, Prevenzione del disagio, Stranieri","Animazione, Assistenza Pre e Post Scolastica, Assistenza scolastica ""ad personam"", Attività Extra scolastiche a minori",,,45.18778684,9.14732866,"(45.18778684, 9.14732866)"
COOPERATIVA SOCIALE VIRGILIANA ONLUS - SOCIETA' COOPERATIVA,Virgilio,MN,0376448117,COOPVIRGILIANA@PEC.IT,,,"Manutenzione verde, Pulizia ambienti","Disabili, Pazienti psichiatrici",45.12133651,10.78665233,"(45.12133651, 10.78665233)"
GIOSTRA - COOPERATIVA SOCIALE - O.N.L.U.S,Milano,MI,0248193731,giostra@giostracsarl.it,"Anziani, Disabili/Handicappati, Disagio Giovanile, Educativa, Emarginazione Sociale, Famiglia, Minori, Prevenzione del disagio","Altro, Animazione culturale  e territoriale, Assistenza Domiciliare integrata Anziani, Assistenza Pre e Post Scolastica, Assistenza domiciliare minori, Assistenza scolastica ""ad personam"", Attività Extra scolastiche a minori, Centro Diurno integrato per anziani, Centro di Aggregazione Giovanile, Centro socio educativo, Educatori di Strada, Mediazione culturale e/o linguistica, Residenza Sanitaria assistenziale per anziani",,,45.46637958,9.1487067,"(45.46637958, 9.1487067)"
CONSORZIO COMUNITA' BRIANZA SOCIETA' COOPERATIVA SOCIALE - IMPRESA SOCIALE,Monza,MB,0392304984,segreteria@comunitabrianza.it,,,,,45.58563506,9.27902534,"(45.58563506, 9.27902534)"
POLISPORTIVA L'ITALIANA COOPERATIVA SOCIALE,Motteggiana,MN,0376520095,,"Educativa, Famiglia",Animazione culturale  e territoriale,,,45.03805434,10.70561726,"(45.03805434, 10.70561726)"
CONSORZIO OC CONSORZIO FRA COOPERATIVE SOCIALI - SOCIETA' COOPERATIVA SOCIALE,Milano,MI,0272730125,,,,,,45.471814,9.1534003,"(45.471814, 9.1534003)"
COOPERATIVA LA NUOVA FAMIGLIA - SOCIETA' COOPERATIVA SOCIALE,Monza,MB,039 2320220,nuova.famiglia@virgilio.it,Disabili/Handicappati,"Altro, Comunità Alloggio per adulti",,,45.58867541,9.266161,"(45.58867541, 9.266161)"
IL GIORNO DOPO SOCIETA' COOPERATIVA SOCIALE,Milano,MI,3358400242,igd@giornodopo.it,,,"Altro, Facchinaggio e traslochi, Pulizia ambienti","Detenuti, Disabili, Tossicodipendenti, Alcooldipendenti",45.4599094,9.11745416,"(45.4599094, 9.11745416)"
IL PELLICANO SOCIETA' COOPERATIVA SOCIALE,Milano,MI,024077323,RDN@IOL.IT,,,"Altro, Manutenzione stabili","Detenuti, Pazienti psichiatrici, Tossicodipendenti, Alcooldipendenti",45.44717293,9.13428345,"(45.44717293, 9.13428345)"
CRESCERE INSIEME - COOPERATIVA SOCIALE - ONLUS -,Castenedolo,BS,0302731637,materna@wooowfast.it,"Educativa, Minori","Asilo Nido, Scuola materna",,,45.47010026,10.29874372,"(45.47010026, 10.29874372)"
FACTORY - SOCIETA' COOPERATIVA SOCIALE - ONLUS,Milano,MI,0243986260,info@factory.coop,,,"Altro, Sorveglianza e portierato",Disabili,45.45816432,9.16011728,"(45.45816432, 9.16011728)"
TEATRO DEL BURATTO SOCIETA' COOPERATIVA SOCIALE,Milano,MI,0227002476,luciasalvati@teatrodelburatto.it,"Altro, Anziani, Educativa, Famiglia, Minori, Prevenzione del disagio","Animazione, Attività Extra scolastiche a minori, Formazione - Consulenza - Progettazione, Informagiovani - Spazio giovani",,,45.48672539,9.18575259,"(45.48672539, 9.18575259)"
IL CIGNO 1 COOPERATIVA SOCIALE A RESPONSABILITA' LIMITATA - ONLUS,Gallarate,VA,3389189167,COOPERATIVAILCIGNO@LIBERO.IT,,,"Manutenzione stabili, Manutenzione verde, Pulizia ambienti",Disabili,45.65794521,8.78579756,"(45.65794521, 8.78579756)"
BERGAMO SOCCORSO SOC. COOP. SOCIALE ONLUS,Alzano Lombardo,BG,035-361942,,"Altro, Anziani, Disabili/Handicappati",Altro,,,45.7386174,9.7336068,"(45.7386174, 9.7336068)"
MARTA SOCIETA' COOPERATIVA SOCIALE - ONLUS IN SIGLAMARTA S.C.S.,Sannazzaro de' Burgondi,PV,0382901442,direzione @coopmarta.it,"Anziani, Disabili/Handicappati, Disagio Giovanile, Educativa, Famiglia, Minori, Psichiatria","Animazione, Asilo Nido, Assistenza Domiciliare integrata Anziani, Assistenza Pre e Post Scolastica, Assistenza domiciliare minori, Assistenza scolastica ""ad personam"", Attività Extra scolastiche a minori, Centro Diurno per disabili, Residenza Sanitaria assistenziale per anziani, Scuole Materne, Trasporto persone in situazione di bisogno",,,45.1021627,8.9055666,"(45.1021627, 8.9055666)"
PROGETTO BESSIMO - COOPERATIVA SOCIALE A RESPONSABILITA' LIMITATA ONLUS,Bedizzole,BS,030675515,progetto.bessimo@libero.it,,,"Affissione manifesti, Gestione isola ecologica, Manutenzione verde, Pulizia ambienti, Raccolta differenz., Spazzamento e pulizia strade","Detenuti, Disabili, Tossicodipendenti, Alcooldipendenti",45.502241,10.45246496,"(45.502241, 10.45246496)"
GLI AIRONI COOPERATIVA SOCIALE DI SERVIZI A RESPONSABILITA' LIMITATA,Sannazzaro de' Burgondi,PV,0382995454,gliaironi@tin.it,,,"Altro, Confezionamenti vari, Gestione biblioteche e musei, Manutenzione verde, Pulizia ambienti, Servizi cimiteriali, Spazzamento e pulizia strade","Disabili, Tossicodipendenti, Alcooldipendenti",45.10387,8.9050071,"(45.10387, 8.9050071)"
SANT'ANDREA SOCIETA' COOPERATIVA SOCIALE,Monza,MB,0392480099,amministrazione@rsasantandrea.com,"Anziani, Disabili/Handicappati",Assistenza Domiciliare integrata Anziani,,,45.60040975,9.26630032019429,"(45.60040975, 9.26630032019429)"
GESAS AMBULANZE COOPERATIVA SOCIALE-ONLUS,Cassano Magnago,VA,0331280050,gesas.cassano@libero.it,Altro,Altro,,,45.67284016,8.82785028,"(45.67284016, 8.82785028)"
NEMO SOCIETA' COOPERATIVA SOCIALE,Melzo,MI,0236743200,a.ferrari@hcmitalia.it,"Altro, Anziani, Disabili/Handicappati","Gestione reparti ospedalieri, Istituto di Riabilitazione Geriatrico, Istituto di Riabilitazione per Handicap, Residenza Sanitaria assistenziale per anziani, Riabilitazione specialistica ambulatoriale",,,45.50008127,9.42463839,"(45.50008127, 9.42463839)"
COOPERATIVA SOCIALE L'INCONTRO O.N.L.U.S.,Viadana,MN,0375782162,cooperativaincontro@pro-crea.it,,,"Confezionamenti vari, Pulizia ambienti",Disabili,44.92906304,10.51694626,"(44.92906304, 10.51694626)"
LA VITA SOCIETA' COOPERATIVA SOCIALE - ONLUS,Milano,MI,026691464,cooperativalavita@gmail.com,"Anziani, Famiglia, Minori, Psichiatria","Alloggi protetti, Assistenza domiciliare minori, Residenza Sanitaria assistenziale per anziani",,,45.4834347,9.20478713,"(45.4834347, 9.20478713)"
IS - SOCIETA' COOPERATIVA SOCIALE,Milano,MI,026430213,,,,Gestione bar,Disabili,45.51904789,9.19686469,"(45.51904789, 9.19686469)"
COOPERATIVA SOCIALE TUTTINSIEME,Milano,MI,0248920605,tuttinsieme@tin.it,"Disabili/Handicappati, Disagio Giovanile, Educativa, Famiglia, Minori, Prevenzione del disagio, Stranieri","Alloggi protetti, Asilo Nido, Assistenza Domiciliare integrata Disabili, Assistenza domiciliare minori, Centro Ricreativo diurno minori, Servizi per immigrati",,,45.46210221,9.0909388,"(45.46210221, 9.0909388)"
AZZURRA - SOCIETA' COOPERATIVA SOCIALE - ONLUS,Darfo Boario Terme,BS,0364532374,azzurra.gestione@alice.it,"Anziani, Disabili/Handicappati, Educativa, Minori","Assistenza Domiciliare integrata Disabili, Assistenza scolastica ""ad personam"", Attività Extra scolastiche a minori, Centro Diurno per disabili, Centro socio educativo, Comunità socio sanitaria per disabili, Residenza Sanitaria assistenziale per anziani, Servizi di formazione all'autonomia",,,45.88040409,10.18348487,"(45.88040409, 10.18348487)"
C.S.S.I. CONSORZIO STUDI E SERVIZI PER L'IMMIGRAZIONE - CONSORZIODI COOPERATIVE SOCIALI - SOCIETA' COOPERATIVA SOCIALE - ONLUS,Brescia,BS,0302403037,presidenza@cssibrescia.it,,,,,45.53284631,10.22181873,"(45.53284631, 10.22181873)"
ARCOBALENO SOCIETA' COOPERATIVA SOCIALE,Robecco sul Naviglio,MI,0294608556,info@ilnidodicasterno.it,Educativa,Asilo Nido,,,45.42767328,8.87164917,"(45.42767328, 8.87164917)"
AESSE - AMBIENTE SOLIDARIETA' - SOCIETA' COOPERATIVA SOCIALE - ONLUS,Brescia,BS,0308370002,contabilita@cooperativaesse.it,,,"Altro, Gestione bar, Pulizia ambienti, Sorveglianza e portierato","Detenuti, Disabili, Pazienti psichiatrici, Tossicodipendenti, Alcooldipendenti",45.51501744,10.26045881,"(45.51501744, 10.26045881)"
4 EXODUS - SOCIETA' COOPERATIVA SOCIALE,Gallarate,VA,0331200098,4EXODUS@LEGALMAIL.IT,Tossicodipendenza,Comunità Terapeutica Tossicodipendenti,,,45.65968973,8.81492364,"(45.65968973, 8.81492364)"
A.M.P. PAXME DOMICILIARE SOCIETA' COOPERATIVA SOCIALE,Milano,MI,0267382785,,"Anziani, Disabili/Handicappati, Famiglia, Minori","Assistenza Domiciliare integrata Anziani, Centro Diurno per disabili",,,45.490644,9.1951696,"(45.490644, 9.1951696)"
CASCINA BIBLIOTECA - SOCIETA' COOPERATIVA SOCIALE DI SOLIDARIETA'A RESPONSABILITA' LIMITATA - ONLUS,Milano,MI,022155006,viridalia@viridalia.it,"Disabili/Handicappati, Minori","Alloggi protetti, Animazione, Centro Diurno per disabili, Centro socio educativo, Comunità socio sanitaria per disabili, Servizi di formazione all'autonomia",,,45.49804293,9.25830437,"(45.49804293, 9.25830437)"
R.G.M. - RAGIONE GRATUITA' MOTIVAZIONE - SOCIETA' COOPERATIVA SOCIALE,Milano,MI,0226303525,info@rgm.coop,,,"Agricola, Manutenzione stabili, Manutenzione verde, Orto-floro-vivaismo, Pulizia ambienti, Sorveglianza e portierato","Disabili, Pazienti psichiatrici",45.50065949,9.24748131,"(45.50065949, 9.24748131)"
ARCA SOCIETA' COOPERATIVA SOCIALE,Cusago,MI,3351318068,,,,Recupero e vendita beni usati,"Detenuti, Tossicodipendenti, Alcooldipendenti",45.4335704,9.04872632,"(45.4335704, 9.04872632)"
COOPERANDA SOCIETA' COOPERATIVA SOCIALE - ONLUS,Sannazzaro de' Burgondi,PV,3666023982,info@cooperanda.it,,,"Altro, Apertura e chiusura parchi, Consegna pasti, Facchinaggio e traslochi, Gestione mense, Manutenzione verde, Pulizia ambienti, Sorveglianza e portierato, Spazzamento e pulizia strade, Tinteggiatura, Trasporto persone","Detenuti, Disabili, Pazienti psichiatrici, Tossicodipendenti, Alcooldipendenti",45.1021627,8.9055666,"(45.1021627, 8.9055666)"
BERGAMO ASSISTENZA SOCIETA' COOPERATIVA SOCIALE A RESPONSABILITA'LIMITATA,Azzano San Paolo,BG,3463765822,bergamoassistenza@alice.it,Educativa,Istituti Educativi Assistenziali per minori,,,45.64934035,9.68308125,"(45.64934035, 9.68308125)"
OASIS SERVIZI SOCIALI - SOCIETA' COOPERATIVA SOCIALE O.N.L.U.S. IN LIQUIDAZIONE,Milano,MI,0229005808,,Anziani,Residenza Sanitaria assistenziale per anziani,,,45.4729807,9.1903353,"(45.4729807, 9.1903353)"
OLTRE CONFINE SOCIETA' COOPERATIVA SOCIALE ONLUS,Sannazzaro de' Burgondi,PV,0382995461,,,,"Altro, Gestione biblioteche e musei, Valorizzazione del territorio",Disabili,45.1021627,8.9055666,"(45.1021627, 8.9055666)"
BRIANZA EMERGENZA SOCIETA' COOPERATIVA SOCIALE ONLUS,Milano,MI,0392620696,,Altro,Altro,,,45.49797409,9.22575264,"(45.49797409, 9.22575264)"
LA CORDATA - SOCIETA' COOPERATIVA SOCIALE - ONLUS,Roè Volciano,BS,036563011,amministrazione@lacordata.com,"Anziani, Disabili/Handicappati, Educativa","Animazione, Assistenza Domiciliare integrata Anziani, Assistenza Pre e Post Scolastica, Assistenza scolastica ""ad personam"", Centro socio educativo",,,45.60990581,10.48149346,"(45.60990581, 10.48149346)"
INRETE.IT - CONSORZIO DI COOPERATIVE SOCIALI - SOCIETA' COOPERATIVA SOCIALE,Ospitaletto,BS,030640921,info@inreteweb.it,,,,,45.55577359,10.07145858,"(45.55577359, 10.07145858)"
COMUNITA' APERTA S. LUIGI - SOCIETA' COOPERATIVA SOCIALE-ONLUS,Visano,BS,0309958984,Maracts@virgilio.it,"Alcooldipendenza, Malati AIDS, Tossicodipendenza",Comunità Terapeutica Tossicodipendenti,,,45.31795026,10.36693005,"(45.31795026, 10.36693005)"
LA MANO AMICA COOP.SOCIALE ONLUS - SOCIETA' COOPERATIVA,Vimercate,MB,0396851799,direzione@cooplamanoamica.it,Anziani,"Altro, Centro Diurno integrato per anziani, Residenza Sanitaria assistenziale per anziani",,,45.616014,9.349375,"(45.616014, 9.349375)"
COOPERATIVA LAVORO E SOLIDARIETA' - SUN-CHI - SOCIETA' COOPERATIVA SOCIALE O CON DENOMINAZIONE ABBREVIATA CLS SUN-CHI CS,Saronno,VA,029622798,massimo.monti@studiozsp.it,,,Altro,Disabili,45.6238332,9.0267332,"(45.6238332, 9.0267332)"
PAXME ASSISTANCESOC. COOP. SOCIALE,Milano,MI,0267382785,info@paxme.com,"Anziani, Disabili/Handicappati, Educativa, Malati AIDS, Minori, Stranieri","Assistenza Domiciliare integrata Anziani, Assistenza domiciliare minori",,,45.490644,9.1951696,"(45.490644, 9.1951696)"
GLI ACROBATI SOCIETA' COOPERATIVA SOCIALE - ONLUS,Concesio,BS,0302060130,gliacrobati@legalmail.it,,,,,45.59854735,10.22358189,"(45.59854735, 10.22358189)"
